Ep.,구분,이름,메뉴,계절,시/도,군/구,지번,전화번호,비고,Filter,formatted_address,lat,lng
Ep.0 Pilot,맛집,테라로사,커피,,강원,강릉,구정면 어단리 973-1,033-648-2760,너무 유명해짐.,1,대한민국 강원도 강릉시 구정면 어단리 973-1,37.6960542,128.8918879
Ep.0 Pilot,맛집,전광수 커피하우스 명동점,커피,,서울,중,남산동2가 15-11,02-778-0675,,1,대한민국 서울특별시 중구 남산동2가 15-11,37.5592173,126.9859613
Ep.0 Pilot,걸신 인문학,imi,카페,,서울,마포,동교동 201-10,02-6368-5228,"http://hovoo.blog.me/
케익, 오렌지 빙수도 추천.",1,대한민국 서울특별시 마포구 동교동 201-10,37.5574377,126.9218955
Ep.0 Pilot,맛집,용금옥,추어탕(서울식),,서울,중,다동 165-1,02-777-1689,"서울식, 통 미꾸라지에 사골 또는 곱창이나 내장으로 국물을 내어 고춧가루를 첨가한 형태.
1932년부터 영업.",1,대한민국 서울특별시 중구 다동 165-1,37.5676318,126.9804953
Ep.0 Pilot,맛집,곰보추탕,추어탕(서울식),,서울,동대문,용신동 767-6,02-928-5435,,1,대한민국 서울특별시 동대문구 용신동 767-6,37.5787038,127.0267258
Ep.0 Pilot,맛집,형제추어탕,추어탕(서울식),,서울,종로,평창동 281-1,02-919-4455,,1,대한민국 서울특별시 종로구 평창동 281-1,37.6038613,126.9641289
Ep.0 Pilot,맛집,대중옥,선지(찰선지),,서울,강남,역삼동 834-4,02-2293-2322,추어탕도 유명함.,1,대한민국 서울특별시 강남구 역삼동 834-4,37.49365,127.0337823
Ep.0 Pilot,맛집,정동집(남도식당),추어탕(남원식),,서울,중,정동 11-4,02-773-7888,경향 신문사 맞은편,1,대한민국 서울특별시 중구 정동 11-4,37.565899,126.9725829
Ep.0 Pilot,맛집,새집추어탕,추어탕(남원식),,전북,남원,천거동 160-206,063-625-2443,"전라도(남원)식, 들깨 즙을 사용하여 뻑뻑하고 질박한 느낌.
전국에서 가장 유명한 집.",1,대한민국 전라북도 남원시 천거동 160-206,35.4002818,127.3752936
Ep.0 Pilot,맛집,부산집,추어탕(남원식),,전북,남원,천거동 160-163,063-632-7823,그날 그날 주방장 기분에 따라 맛이 미묘하게 달라짐.,1,대한민국 전라북도 남원시 천거동 160-163,35.40111479999999,127.3767173
Ep.0 Pilot,맛집,현식당,추어탕(남원식),,전북,남원,천거동 160-192,063-626-5163,남원 지역에서 후발 주자.,1,대한민국 전라북도 남원시 천거동 160-192,35.4013266,127.377069
Ep.0 Pilot,맛집,원주복추어탕,추어탕(원주식),,강원,원주,개운동 406-13,033-763-7987,"강원도(원주)식, 미꾸라지를 통으로 넣고 고추장 베이스의 국물.",1,대한민국 강원도 원주시 개운동 406-13,37.3385245,127.9564656
Ep.0 Pilot,이 집에 가라,상주식당,추어탕(경상도식),,대구,중,동성로2가 54-1,053-425-5924,"걸신 강추. 외관은 전형적인 경상도식이나 약간 퓨전됨.
자연산 미꾸라지와 노지배추를 사용하기 때문에 12월에서 2월까지 휴업함.
최근 약간 맛이 변한 기분이 든다고 함.",1,대한민국 대구광역시 중구 동성로2가 54-1,35.8704255,128.5960339
Ep.0 Pilot,맛집,의성식당,추어탕(경상도식),,경북,청도,청도읍 고수리 969-20,054-371-2349,경상도식. 붕어 및 잡어가 추가. 배추가 추가 되는 맑은 느낌.,1,대한민국 경상북도 청도군 청도읍 고수리 969-20,35.6408875,128.7460072
Ep.01-1,맛집,긴자,카레(인도커리),,경기,군포,산본동 1136 한솔프라자 401호,031-392-2203,착한 식당으로 선정된 집. 조미료를 사용하지 않음.,1,대한민국 경기도 군포시 산본동 1136,37.3600685,126.9310096
Ep.01-2,맛집,부영각,탕수육,,서울,마포,용강동 494-61,02-716-2413,"허름한 예전 보다 확장 이전 후 맛이 변함.
쟁반 짜장 추천.",1,대한민국 서울특별시 마포구 용강동 494-61,37.5424723,126.9394854
Ep.01-2,맛집,복성루,짬뽕,,전북,군산,미원동 332,063-445-8412,11시 ~ 16시 영업.,1,대한민국 전라북도 군산시 미원동 332,35.9781983,126.7158224
Ep.01-2,이 집에 가라,동화반점,팔보완자(빠빠완즈 공룡알),,서울,중,을지로6가 18-95,02-2265-9224,산미와 당도가 높지않은 화이트 와인(리슬링와인)을 차게 해 함께 하면 궁합이 좋음.,1,대한민국 서울특별시 중구 을지로6가 18-95,37.5677054,127.0081654
Ep.02,이 집에 가라,현대옥,해장국(콩나물),,전북,전주,완산구 전동3가 2-242,063-282-7214,"체인이되면서 원주인이 은퇴하고 점포를 넘겨줌. [Athom]
파 풋고추 등의 향신료를 국밥 나가기 전 손질해 주기를 부탁함. [걸신]",1,대한민국 전라북도 전주시 완산구 전동3가 2-242,35.8124081,127.1465988
Ep.02,이 집에 가라,운암식당,해장국(콩나물),,전북,전주,완산구 전동3가 2-242 남부시장 2동 80호,063-286-1021,현대옥 맞은편. 현대옥이 체인이 된 이후 추천 맛집. [Athom],1,대한민국 전라북도 전주시 완산구 전동3가 2-242,35.8124081,127.1465988
Ep.02,이 집에 가라,쌍둥이돼지국밥,국밥(돼지국밥),,부산,남,대연1동 887-1,051-628-7020,항정살 수육 사용.,1,대한민국 부산광역시 남구 대연1동 887-1,35.1336017,129.0921867
Ep.02,맛집,성미당,비빔밥(전주비빔밥),,전북,전주,완산구 중앙동3가 31,063-287-8800,전주 주민은 이용하지 않음. 그냥 유명함. [Athom],1,대한민국 전라북도 전주시 완산구 중앙동3가 31,35.8170806,127.1453515
Ep.02,맛집,고궁,비빔밥(전주비빔밥),,전북,전주,덕진구 덕진동2가 168-9,063-251-3211,전주 주민은 이용하지 않음. 그냥 유명함. [Athom],1,대한민국 전라북도 전주시 덕진구 덕진동2가 168-9,35.8500668,127.1194169
Ep.02,이 집에 가라,순자씨밥줘,비빔밥,,전북,전주,완산구 전동 295-4,063-282-2168,전주 비빔밥 스타일이 아닌 막비빔밥 스타일.  [Athom],1,대한민국 전라북도 전주시 완산구 전동 295-4,35.8127656,127.1475776
Ep.02,이 집에 가라,천황식당,비빔밥(진주비빔밥),,경남,진주,대안동 4-1,055-741-2646,"100년 가량 운영된 집. 간장 base. 콩나물 대신 숙주를 사용. 소박하지만 친숙한 맛.
선지국이 따라나옴.
지역 음식화 되어 굳이 천황식당이 아니어도 인근 식당에서 유사한 맛을 볼 수 있음.",1,대한민국 경상남도 진주시 대안동 4-1,35.1960315,128.0844217
Ep.03,이 집에 가라,사누키진우동,"우동(가마우동, 냉우동)",,경기,성남,분당구 서현동 260-4,031-708-5999,,1,대한민국 경기도 성남시 분당구 서현동 260-4,37.3865686,127.1221159
Ep.04-1,맛집,만성복집,복국(졸복국),,경남,통영,서호동 177-65,055-645-2140,"졸복국 7천원에서 11천원으로 변경.
아침 해장국으로 좋음.",1,대한민국 경상남도 통영시 서호동 177-65,34.8408871,128.4184973
Ep.04-1,맛집,원조시락국,시래기국,,경남,통영,서호동 177-408,055-646-5973,,1,대한민국 경상남도 통영시 서호동 177-408,34.8407416,128.4183293
Ep.04-1,맛집,삼오정,냉면(비빔냉면),,부산,부산진,부전2동 257-15,051-806-9540,,1,대한민국 부산광역시 부산진구 부전2동 257-15,35.1565704,129.05841
Ep.04-1,걸신 인문학,미소복양평해장국,국밥(선지 해장국),,경기,고양,덕양구 용두동 432-215,02-353-5057,자극적이고 강한 맛.,1,대한민국 경기도 고양시 덕양구 용두동 432-215,37.6248301,126.8977033
Ep.04-1,걸신 인문학,신내서울해장국,국밥(선지 해장국),,경기,양평,개군면 공세리 327-9,031-773-8001,양평 해장국의 원조.,1,대한민국 경기도 양평군 개군면 공세리 327-9,37.4648282,127.5278918
